t(s); x(m); y(m); z(m)
4.11;-1.268299319;-1.721909469;-0.99430079
4.12;-1.262508218;-1.747760914;-0.996133609
4.13;-1.256455555;-1.773437153;-0.997612506
4.14;-1.250142919;-1.798934521;-0.998736957
4.15;-1.243571944;-1.824249375;-0.99950656
4.16;-1.236744308;-1.8493781;-0.999921044
4.17;-1.229661729;-1.874317104;-0.999980261
4.18;-1.222325971;-1.899062822;-0.999684189
4.19;-1.214738838;-1.923611715;-0.999032935
4.2;-1.206902177;-1.94796027;-0.998026728
4.21;-1.198817876;-1.972105004;-0.996665928
4.22;-1.190487866;-1.996042459;-0.994951017
4.23;-1.181914117;-2.01976921;-0.992882605
4.24;-1.173098641;-2.043281856;-0.990461426
4.25;-1.164043489;-2.066577029;-0.987688341
4.26;-1.154750754;-2.08965139;-0.984564335
4.27;-1.145222566;-2.112501632;-0.981090517
4.28;-1.135461098;-2.135124478;-0.977268124
4.29;-1.125468557;-2.157516682;-0.973098511
4.3;-1.115247194;-2.179675032;-0.968583161
4.31;-1.104799294;-2.201596348;-0.963723678
4.32;-1.09412718;-2.223277482;-0.958521789
4.33;-1.083233216;-2.244715322;-0.952979342
4.34;-1.072119799;-2.265906789;-0.947098305
4.35;-1.060789364;-2.286848838;-0.940880769
4.36;-1.049244383;-2.307538459;-0.934328942
4.37;-1.037487362;-2.327972679;-0.927445153
4.38;-1.025520844;-2.348148561;-0.920231847
4.39;-1.013347406;-2.368063203;-0.912691587
4.4;-1.000969659;-2.387713741;-0.904827052
4.41;-0.98839025;-2.407097347;-0.896641037
4.42;-0.975611856;-2.426211233;-0.888136449
4.43;-0.962637191;-2.445052648;-0.87931631
4.44;-0.949469;-2.46361888;-0.870183755
4.45;-0.936110059;-2.481907255;-0.860742027
4.46;-0.922563178;-2.499915139;-0.850994482
4.47;-0.908831197;-2.517639939;-0.840944582
4.48;-0.894916986;-2.535079102;-0.830595899
4.49;-0.880823446;-2.552230115;-0.819952109
4.5;-0.86655351;-2.569090505;-0.809016994
4.51;-0.852110137;-2.585657843;-0.79779444
4.52;-0.837496317;-2.60192974;-0.786288432
4.53;-0.822715066;-2.61790385;-0.77450306
4.54;-0.807769431;-2.633577869;-0.762442511
4.55;-0.792662484;-2.648949537;-0.75011107
4.56;-0.777397324;-2.664016635;-0.737513117
4.57;-0.761977078;-2.678776991;-0.72465313
4.58;-0.746404897;-2.693228473;-0.711535677
4.59;-0.730683957;-2.707368997;-0.698165419
4.6;-0.714817461;-2.721196521;-0.684547106
4.61;-0.698808634;-2.734709049;-0.670685577
4.62;-0.682660724;-2.747904631;-0.656585756
4.63;-0.666377006;-2.760781359;-0.642252653
4.64;-0.649960772;-2.773337376;-0.627691361
4.65;-0.633415342;-2.785570867;-0.612907054
4.66;-0.616744052;-2.797480065;-0.597904983
4.67;-0.599950263;-2.80906325;-0.58269048
4.68;-0.583037353;-2.820318747;-0.567268949
4.69;-0.566008723;-2.831244931;-0.551645871
4.7;-0.548867791;-2.841840223;-0.535826795
4.71;-0.531617994;-2.85210309;-0.519817343
4.72;-0.514262787;-2.86203205;-0.503623202
4.73;-0.496805644;-2.871625667;-0.487250126
4.74;-0.479250054;-2.880882554;-0.470703932
4.75;-0.461599524;-2.889801373;-0.4539905
4.76;-0.443857574;-2.898380834;-0.437115767
4.77;-0.426027742;-2.906619697;-0.420085728
4.78;-0.40811358;-2.914516769;-0.402906436
4.79;-0.390118653;-2.922070909;-0.385583992
4.8;-0.372046541;-2.929281024;-0.368124553
4.81;-0.353900834;-2.93614607;-0.35053432
4.82;-0.335685137;-2.942665056;-0.332819545
4.83;-0.317403066;-2.948837038;-0.31498652
4.84;-0.299058246;-2.954661122;-0.297041582
4.85;-0.280654316;-2.960136466;-0.278991106
4.86;-0.262194921;-2.965262278;-0.260841506
4.87;-0.243683719;-2.970037816;-0.242599231
4.88;-0.225124373;-2.97446239;-0.224270761
4.89;-0.206520556;-2.978535358;-0.205862609
4.9;-0.187875948;-2.982256131;-0.187381315
4.91;-0.169194235;-2.985624171;-0.168833445
4.92;-0.150479112;-2.988638991;-0.150225589
4.93;-0.131734275;-2.991300153;-0.131564359
4.94;-0.112963428;-2.993607273;-0.112856385
4.95;-0.09417028;-2.995560017;-0.094108313
4.96;-0.075358541;-2.997158102;-0.075326806
4.97;-0.056531926;-2.998401298;-0.056518534
4.98;-0.037694151;-2.999289423;-0.037690183
4.99;-0.018848936;-2.999822349;-0.01884844
5;-3.67394E-16;-3;-3.67394E-16
5.01;0.018848936;-2.999822349;0.01884844
5.02;0.037694151;-2.999289423;0.037690183
5.03;0.056531926;-2.998401298;0.056518534
5.04;0.075358541;-2.997158102;0.075326806
5.05;0.09417028;-2.995560017;0.094108313
5.06;0.112963428;-2.993607273;0.112856385
5.07;0.131734275;-2.991300153;0.131564359
5.08;0.150479112;-2.988638991;0.150225589
5.09;0.169194235;-2.985624171;0.168833445
5.1;0.187875948;-2.982256131;0.187381315
5.11;0.206520556;-2.978535358;0.205862609
