t_interpolado,tray_x_interpolado,tray_y_interpolado,tray_z_interpolado
3.65,-1.233479987734278,-0.41060930073224217,-0.5605638779005523
3.66,-1.2405984678548205,-0.440268002804875,-0.5759841249591162
3.67,-1.24743594591451,-0.4699367744311716,-0.5912076996287292
3.68,-1.253992249176029,-0.4996114054877268,-0.6062296893878454
3.69,-1.2602672049020591,-0.52928768585113,-0.621045181714917
3.7,-1.266260640355283,-0.5589614053979756,-0.635649264088398
3.71,-1.2719723827983824,-0.5886283540048534,-0.6500370239867402
3.72,-1.277402259494039,-0.6182843215483577,-0.6642035488883979
3.73,-1.2825500977049353,-0.647925097905078,-0.6781439262718231
3.74,-1.2874157246937534,-0.6775464729516091,-0.6918532436154698
3.75,-1.2919989677231756,-0.7071442365645404,-0.7053265883977899
3.76,-1.296299654055883,-0.7367141786204651,-0.7185590480972373
3.77,-1.3003176109545584,-0.7662520889959766,-0.7315457101922651
3.78,-1.3040526656818843,-0.7957537575676643,-0.7442816621613255
3.79,-1.307504645500542,-0.825214974212123,-0.7567619914828729
3.8,-1.3106733776732136,-0.8546315288059421,-0.7689817856353587
3.81,-1.3135586894625817,-0.8839992112257159,-0.7809361320972376
3.82,-1.3161604081313278,-0.9133138113480341,-0.792620118346961
3.83,-1.3184783609421342,-0.9425711190494913,-0.8040288318629835
3.84,-1.3205123751576833,-0.9717669242066769,-0.8151573601237566
3.85,-1.3222622780406565,-1.0008970166961857,-0.8260007906077349
3.86,-1.3237278968537365,-1.029957186394607,-0.83655421079337
3.87,-1.324909058859605,-1.0589432231785352,-0.8468127081591161
3.88,-1.3258055913209443,-1.0878509169245603,-0.8567713701834252
3.89,-1.3264173215004362,-1.116676057509276,-0.8664252843447515
3.9,-1.3267440766607628,-1.145414434809273,-0.8757695381215469
3.91,-1.3267856840646066,-1.174061838701145,-0.8847992189922651
3.92,-1.326541970974649,-1.2026140590614818,-0.893509414435359
3.93,-1.3260127646535727,-1.2310668857668776,-0.9018952119292817
3.94,-1.3251978923640595,-1.2594161086939226,-0.9099516989524862
3.95,-1.324097181368791,-1.2876575177192107,-0.9176739629834254
3.96,-1.3227104589304504,-1.3157869027193314,-0.9250570915005522
3.97,-1.3210375523117186,-1.34380005357088,-0.9320961719823203
3.98,-1.3190782887752783,-1.3716927601504456,-0.9387862919071822
3.99,-1.3168324955838113,-1.3994608123346222,-0.9451225387535912
4.0,-1.3143,-1.4271,-0.9511
4.01,-1.3114810155891194,-1.4546062521160161,-0.9567147634872927
4.02,-1.3083773011268183,-1.4819760540234836,-0.961966918506077
4.03,-1.3049910016913373,-1.5092060301560608,-0.9668575547093923
4.04,-1.3013242623609187,-1.5362928049474003,-0.9713877617502762
4.05,-1.2973792282138041,-1.5632330028311612,-0.9755586292817678
4.06,-1.2931580443282351,-1.5900232482409993,-0.9793712469569058
4.07,-1.2886628557824524,-1.6166601656105748,-0.9828267044287293
4.08,-1.2838958076546987,-1.6431403793735393,-0.9859260913502762
4.09,-1.2788590450232151,-1.6694605139635514,-0.9886704973745855
4.1,-1.2735547129662432,-1.6956171938142686,-0.991061012154696
4.11,-1.2679849565620236,-1.7216070433593496,-0.9930987253436463
4.12,-1.2621519208887997,-1.7474266870324464,-0.9947847265944751
4.13,-1.2560577510248119,-1.7730727492672183,-0.9961201055602209
4.14,-1.2497045920483016,-1.7985418544973213,-0.9971059518939227
4.15,-1.2430945890375107,-1.8238306271564155,-0.9977433552486188
4.16,-1.2362298870706812,-1.848935691678152,-0.9980334052773481
4.17,-1.229112631226054,-1.8738536724961905,-0.9979771916331492
4.18,-1.2217449665818712,-1.8985811940441877,-0.9975758039690606
4.19,-1.2141290382163736,-1.923114880755802,-0.9968303319381214
4.2,-1.2062669912078035,-1.9474513570646863,-0.9957418651933702
4.21,-1.1981609706344023,-1.971587247404499,-0.9943114933878453
4.22,-1.1898131215744114,-1.995519176208897,-0.9925403061745857
4.23,-1.1812255891060717,-2.01924376791154,-0.9904293932066297
4.24,-1.172400518307626,-2.042757646946079,-0.9879798441370166
4.25,-1.1633400542573156,-2.066057437746174,-0.9851927486187846
4.26,-1.154046342033382,-2.0891397647454806,-0.9820691963049724
4.27,-1.1445215267140663,-2.112001252377657,-0.9786102768486188
4.28,-1.1347677533776095,-2.13463852507636,-0.9748170799027622
4.29,-1.124787167102255,-2.1570482072752446,-0.9706906951204419
4.3,-1.1145819129662429,-2.1792269234079673,-0.9662322121546962
4.31,-1.1041541360478155,-2.201171297908186,-0.9614427206585637
4.32,-1.093505981425213,-2.222877955209559,-0.9563233102850828
4.33,-1.0826395941766793,-2.2443435197457404,-0.9508750706872928
4.34,-1.0715571193804543,-2.265564615950387,-0.945099091518232
4.35,-1.0602607021147799,-2.2865378682571564,-0.9389964624309394
4.36,-1.048752487457897,-2.3072599010997075,-0.9325682730784527
4.37,-1.0370346204880487,-2.327727338911693,-0.9258156131138121
4.38,-1.0251092462834759,-2.3479368061267705,-0.9187395721900553
4.39,-1.0129785099224198,-2.3678849271785976,-0.9113412399602213
4.4,-1.000644556483121,-2.387568326500834,-0.9036217060773478
4.41,-0.9881095310438233,-2.4069836285271307,-0.8955820601944752
4.42,-0.9753755786827674,-2.426127457691147,-0.8872233919646411
4.43,-0.9624448444781943,-2.4449964384265397,-0.8785467910408842
4.44,-0.9493194735083449,-2.463587195166968,-0.8695533470762429
4.45,-0.9360016108514628,-2.4818963523460837,-0.8602441497237567
4.46,-0.9224934015857889,-2.499920534397547,-0.8506202886364641
4.47,-0.908796990789564,-2.5176563657550126,-0.8406828534674036
4.48,-0.8949145235410287,-2.5351004708521407,-0.8304329338696128
4.49,-0.8808481449184273,-2.5522494741225836,-0.8198716194961325
4.5,-0.8666,-2.5691,-0.809
4.51,-0.85217247508834,-2.585649021177234,-0.7978200141436468
4.52,-0.8375689213834473,-2.60189490338388,-0.7863369971270723
4.53,-0.8227929313096722,-2.6178363606087185,-0.7745571332596684
4.54,-0.8078480972913691,-2.63347210684053,-0.7624866068508287
4.55,-0.7927380117528882,-2.6488008560680956,-0.7501316022099451
4.56,-0.7774662671185816,-2.663821322280197,-0.7374983036464094
4.57,-0.7620364558127993,-2.678532219465617,-0.7245928954696129
4.58,-0.7464521702598957,-2.6929322616131333,-0.7114215619889502
4.59,-0.7307170028842214,-2.7070201627115287,-0.6979904875138123
4.6,-0.7148345461101278,-2.720794636749583,-0.6843058563535916
4.61,-0.6988083923619652,-2.734254397716081,-0.6703738528176792
4.62,-0.6826421340640882,-2.7473981595997996,-0.6562006612154695
4.63,-0.6663393636408472,-2.7602246363895215,-0.6417924658563539
4.64,-0.6499036735165937,-2.772732542074028,-0.6271554510497243
4.65,-0.633338656115678,-2.7849205906421,-0.6122958011049718
4.66,-0.6166479038624545,-2.7967874960825188,-0.5972197003314915
4.67,-0.5998350091812739,-2.808331972384065,-0.5819333330386742
